ID,IPA,POS,Alt form,Def,defFr,defDu,defEn,C1 IPA,C2 IPA,C1 Voicing,C2 Voicing,C1 place,C2 place,Homorganic,C1 Manner,C2 Manner,T-D,N-ND,D-ND,KP-K,T-N,T-ND,D-N
2064,bàbá,(s. voc.),,père ! Vader !,père,Vader,,b,b,voiced,voiced,lab,lab,homorganic,D,D,No,No,No,No,No,No,No
2065,’ba’ba,(v.),,"tordre, être tordu. Tot wrong draaien of rollen; gewrongen zijn.","tordre, être tordu",Tot wrong draaien of rollen; gewrongen zijn,,b',b',voiced,voiced,lab,lab,homorganic,other,other,No,No,No,No,No,No,No
2066,’bà’dò,(s. vx.),,haie de branchages et d’épines retranchant les anciens villages. Verschansing van takken en doornranken.,haie de branchages et d’épines retranchant les anciens villages,Verschansing van takken en doornranken,,b',d',voiced,voiced,lab,cor,non-homorganic,other,other,No,No,No,No,No,No,No
2068,’bàkà-,(s.),,"bras, patte de devant, aile. Arm, voorpoot, vleugel.","bras, patte de devant, aile","Arm, voorpoot, vleugel",,b',k,voiced,voiceless,lab,dor,non-homorganic,other,T,No,No,No,No,No,No,No
2069,’bàkó,(s.),,"tristesse, regret, contrition, compassion. Droefheid, leed, berouw, medelijden.","tristesse, regret, contrition, compassion","Droefheid, leed, berouw, medelijden",,b',k,voiced,voiceless,lab,dor,non-homorganic,other,T,No,No,No,No,No,No,No
2070,bàlà,(s.),,ceinture de cordons tordus. Lendenkoord van gedraaide strengen.,ceinture de cordons tordus,Lendenkoord van gedraaide strengen,,b,l,voiced,voiced,lab,other,non-homorganic,D,other,No,No,No,No,No,No,No
2071,’bala,(v.),,"presser (qc, de mou entre les doigts). Persen.","presser (qc, de mou entre les doigts)",Persen,,b',l,voiced,voiced,lab,other,non-homorganic,other,other,No,No,No,No,No,No,No
2074,’bálu̍,(s.),,coiffure en fourrure. Hoofddeksel uit dierenpels,coiffure en fourrure,Hoofddeksel uit dierenpels,,b',l,voiced,voiced,lab,other,non-homorganic,other,other,No,No,No,No,No,No,No
2075,’bama,(v.),,"serrer, pincer. Knijpen, vastknellen.","serrer, pincer","Knijpen, vastknellen",,b',m,voiced,voiced,lab,lab,homorganic,other,N,No,No,No,No,No,No,No
2076,bàmbú,(s.),,ceinture large des mVres aprVs l’enfantement. Brede lendenband der moeders na bevalling.,ceinture large des mVres aprVs l’enfantement,Brede lendenband der moeders na bevalling,,b,mb,voiced,voiced,lab,lab,homorganic,D,ND,No,No,Yes,No,No,No,No
2078,’bana,(v.),,"rester, être de reste. Overblijven, achterblijven, nog zijn.","rester, être de reste","Overblijven, achterblijven, nog zijn",,b',n,voiced,voiced,lab,cor,non-homorganic,other,N,No,No,No,No,No,No,No
2080,bàndà,(s.),,danse des femmes. Vrouwendans.,danse des femmes,Vrouwendans,,b,nd,voiced,voiced,lab,cor,non-homorganic,D,ND,No,No,Yes,No,No,No,No
2081,’banda,(v.),,"croiser. Kruisgewijze vlechten, kruiselings overeen steken.",panda : croiser,"Kruisgewijze vlechten, kruiselings overeen steken",,b',nd,voiced,voiced,lab,cor,non-homorganic,other,ND,No,No,No,No,No,No,No
2083,baŋa,(v. r.),,refuser (d’acheter). Niet goed vinden (koopwaar).,refuser (d’acheter),Niet goed vinden (koopwaar),,b,ŋ,voiced,voiced,lab,dor,non-homorganic,D,N,No,No,No,No,No,No,No
2084,baŋga,(v.),,"se ranger, se mettre en rang, aller en rang. Neveneen of op rij staan of gaan, in ’f gelid —, in de rij staan.","se ranger, se mettre en rang, aller en rang","Neveneen of op rij staan of gaan, in ’f gelid —, in de rij staan",,b,ŋg,voiced,voiced,lab,dor,non-homorganic,D,ND,No,No,Yes,No,No,No,No
2085,’ba̍ŋga̍,(s.),,"mâchoire. Kinnebak, onderkaakbeen.",mâchoire,"Kinnebak, onderkaakbeen",,b',ŋg,voiced,voiced,lab,dor,non-homorganic,other,ND,No,No,No,No,No,No,No
2086,'bàŋgà,(s.),,"poinçon, alêne. Priem, els zonder oog.","poinçon, alêne","Priem, els zonder oog",,b',ŋg,voiced,voiced,lab,dor,non-homorganic,other,ND,No,No,No,No,No,No,No
2087,báŋgè,(s.),,"chanvre. Kemp, hennep.",chanvre,"Kemp, hennep",,b,ŋg,voiced,voiced,lab,dor,non-homorganic,D,ND,No,No,Yes,No,No,No,No
